SourceName,TargetName,Type,Source,Target
crp,cira,plus,1,2
crp,fiu,plus,1,3
fur,fur,minus,4,4
fur,cira,minus,4,2
fur,fiu,minus,4,3
crp,crp,plus,1,1
crp,crp,minus,1,1
idnr,idnr,plus,5,5
idnr,indk,plus,5,6
crp,idnr,plus,1,5
crp,indk,plus,1,6
gntr,idnr,minus,7,5
gntr,indk,minus,7,6
cytr,cytr,minus,8,8
cytr,ycdz,minus,8,9
crp,cytr,dual,1,8
crp,ycdz,dual,1,9
crp,aldb,plus,1,10
crp,hupb,plus,1,11
crp,oxyr,plus,1,12
oxyr,fur,plus,12,4
oxyr,gor,plus,12,13
oxyr,oxyr,minus,12,12
oxyr,oxys,plus,12,14
oxyr,pth-ychf,minus,12,15
oxyr,isrc-flu,minus,12,17
crp,fis,plus,1,16
fis,crp,plus,16,1
fis,fis,minus,16,16
fis,aldb,minus,16,10
fis,hupb,minus,16,11
